CALENDAR_YEAR,LOCATION_ID,RACE_ETHNICITY,ALONE_OR_IN_COMBINATION,CNT
2017,CA-517,Hispanic/Latina/e/o,Alone,*
2017,CA-517,Hispanic/Latina/e/o,Alone or In Combination,310
2017,CA-517,Hispanic/Latina/e/o,In_Combination,301
2017,CA-517,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-517,Native Hawaiian or Pacific Islander,Alone or In Combination,17
2017,CA-517,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-517,White,Alone,525
2017,CA-517,White,Alone or In Combination,734
2017,CA-517,White,In_Combination,209
2017,CA-518,"American Indian, Alaska Native, or Indigenous",Alone,15
2017,CA-518,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,81
2017,CA-518,"American Indian, Alaska Native, or Indigenous",In_Combination,66
2017,CA-518,Asian or Asian American,Alone,18
2017,CA-518,Asian or Asian American,Alone or In Combination,44
2017,CA-518,Asian or Asian American,In_Combination,26
2017,CA-518,"Black, African American or African",Alone,387
2017,CA-518,"Black, African American or African",Alone or In Combination,445
2017,CA-518,"Black, African American or African",In_Combination,58
2017,CA-518,Hispanic/Latina/e/o,Alone,11
2017,CA-518,Hispanic/Latina/e/o,Alone or In Combination,161
2017,CA-518,Hispanic/Latina/e/o,In_Combination,150
2017,CA-518,Native Hawaiian or Pacific Islander,Alone,19
2017,CA-518,Native Hawaiian or Pacific Islander,Alone or In Combination,42
2017,CA-518,Native Hawaiian or Pacific Islander,In_Combination,23
2017,CA-518,White,Alone,306
2017,CA-518,White,Alone or In Combination,479
2017,CA-518,White,In_Combination,173
2017,CA-519,"American Indian, Alaska Native, or Indigenous",Alone,42
2017,CA-519,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,116
2017,CA-519,"American Indian, Alaska Native, or Indigenous",In_Combination,74
2017,CA-519,Asian or Asian American,Alone,*
2017,CA-519,Asian or Asian American,Alone or In Combination,20
2017,CA-519,Asian or Asian American,In_Combination,*
2017,CA-519,"Black, African American or African",Alone,71
2017,CA-519,"Black, African American or African",Alone or In Combination,115
2017,CA-519,"Black, African American or African",In_Combination,44
2017,CA-519,Hispanic/Latina/e/o,Alone,11
2017,CA-519,Hispanic/Latina/e/o,Alone or In Combination,166
2017,CA-519,Hispanic/Latina/e/o,In_Combination,155
2017,CA-519,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-519,Native Hawaiian or Pacific Islander,Alone or In Combination,18
2017,CA-519,Native Hawaiian or Pacific Islander,In_Combination,11
2017,CA-519,White,Alone,956
2017,CA-519,White,Alone or In Combination,1174
2017,CA-519,White,In_Combination,218
2017,CA-520,"American Indian, Alaska Native, or Indigenous",Alone,*
2017,CA-520,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,27
2017,CA-520,"American Indian, Alaska Native, or Indigenous",In_Combination,17
2017,CA-520,Asian or Asian American,Alone,*
2017,CA-520,Asian or Asian American,Alone or In Combination,*
2017,CA-520,Asian or Asian American,In_Combination,*
2017,CA-520,"Black, African American or African",Alone,118
2017,CA-520,"Black, African American or African",Alone or In Combination,132
2017,CA-520,"Black, African American or African",In_Combination,14
2017,CA-520,Hispanic/Latina/e/o,Alone,23
2017,CA-520,Hispanic/Latina/e/o,Alone or In Combination,181
2017,CA-520,Hispanic/Latina/e/o,In_Combination,158
2017,CA-520,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-520,Native Hawaiian or Pacific Islander,Alone or In Combination,11
2017,CA-520,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-520,White,Alone,265
2017,CA-520,White,Alone or In Combination,422
2017,CA-520,White,In_Combination,157
2017,CA-521,"American Indian, Alaska Native, or Indigenous",Alone,12
2017,CA-521,"American Indian, Alaska Native, or Indigenous",Alone or In Combination,42
2017,CA-521,"American Indian, Alaska Native, or Indigenous",In_Combination,30
2017,CA-521,Asian or Asian American,Alone,*
